trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_revs,txn_txns,acct_IDs,acct_durs
2019-08-18 00:00:00,40.0,1.0,"(deposit,untracked)",0,5.0,[10000010],[cash-in],[40.0],[0.0],[1.0],"[AAA,XYZ]",[5.0]
2019-08-18 05:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000011],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-18 08:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000012],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-18 15:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000013],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-18 16:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000014],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-21 06:00:00,30.0,1.0,"(deposit,untracked)",0,5.0,[10000015],[cash-in],[30.0],[0.0],[1.0],"[BBB,XYZ]",[5.0]
2019-08-21 11:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000016],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-22 06:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000017],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-22 08:00:00,10.0,1.0,"(deposit,untracked)",0,32.0,[10000018],[cash-in],[10.0],[0.0],[1.0],"[CCC,XYZ]",[32.0]
2019-08-23 16:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000019],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-25 08:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000020],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-27 07:00:00,20.0,1.0,"(deposit,untracked)",0,1.0,[10000021],[cash-in],[20.0],[0.0],[1.0],"[DDD,XYZ]",[1.0]
2019-08-27 08:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000022],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-27 19:00:00,5.0,1.0,"(existing,withdraw)",0,,[10000023],[mobile-minutes],[5.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-28 12:00:00,200.0,1.0,"(deposit,untracked)",0,2.0,[10000024],[cash-in],[200.0],[0.0],[1.0],"[EEE,XYZ]",[2.0]
2019-08-28 14:00:00,180.0,1.0,"(existing,withdraw)",0,,[10000025],[bill-payment],[180.0],[0.0],[1.0],"[XYZ,utility]",[]
2019-08-29 20:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000026],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-30 12:00:00,10.0,1.0,"(existing,withdraw)",0,,[10000027],[mobile-minutes],[10.0],[0.0],[1.0],"[XYZ,provider]",[]
2019-08-31 06:00:00,5.0,1.0,"(existing,withdraw)",0,,[10000028],[mobile-minutes],[5.0],[0.0],[1.0],"[XYZ,provider]",[]
