trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_revs,txn_txns,acct_IDs,acct_durs
2017-03-01 00:02:00,4000.0,1.0,"(deposit,untracked)",0,0.1,[1],[check_deposit],[4000.0],[0.0],[1.0],"[AAA,BBB]",[0.1]
2017-03-01 00:08:00,3500.0,1.0,"(untracked,withdraw)",0,,[2],[bill_payment],[3500.0],[0.0],[1.0],"[BBB,QQQ]",[]
2017-03-01 00:21:00,2000.0,1.0,"(deposit,untracked)",0,24.083333,[3],[cash_deposit],[2000.0],[0.0],[1.0],"[AAA,CCC]",[24.083333]
2017-03-02 00:51:00,500.0,1.0,"(deposit,untracked)",0,0.35,[5],[direct_deposit],[500.0],[0.0],[1.0],"[AAA,BBB]",[0.35]
2017-03-02 01:12:00,500.0,1.0,"(untracked,untracked)",1,24.633333,[6],[p2p_transfer],[500.0],[0.0],[1.0],"[BBB,DDD]",[24.633333]
2017-03-03 01:50:00,1500.0,1.0,"(untracked,withdraw)",0,,[8],[cash_withdraw],[1500.0],[0.0],[1.0],"[DDD,AAA]",[]
2017-03-02 00:26:00,1000.0,1.0,"(untracked,untracked)",1,25.866667,[4],[p2p_transfer],[1000.0],[0.0],[1.0],"[CCC,EEE]",[25.866667]
2017-03-03 02:18:00,100.0,1.0,"(untracked,withdraw)",0,,[9],[card_payment],[100.0],[0.0],[1.0],"[EEE,RRR]",[]
2017-03-03 02:21:00,500.0,1.0,"(untracked,withdraw)",0,,[10],[cash_withdraw],[500.0],[0.0],[1.0],"[BBB,AAA]",[]
2017-03-04 02:48:00,900.0,1.0,"(untracked,withdraw)",0,,[11],[bill_payment],[900.0],[0.0],[1.0],"[EEE,QQQ]",[]
