trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_revs,txn_txns,acct_IDs,acct_durs
2017-03-01 00:02:00,3500.0,0.875,"(deposit,withdraw)",0,0.1,"[1,2]","[check_deposit,bill_payment]","[3500.0,3500.0]","[0.0,0.0]","[0.875,1.0]","[AAA,BBB,QQQ]",[0.1]
2017-03-01 00:21:00,1000.0,0.5,"(deposit,transfer)",1,24.083333,"[3,4]","[cash_deposit,p2p_transfer]","[1000.0,1000.0]","[0.0,0.0]","[0.5,1.0]","[AAA,CCC,EEE]",[24.083333]
2017-03-01 00:02:00,250.0,0.0625,"(deposit,transfer)",1,25.166667,"[1,6]","[check_deposit,p2p_transfer]","[250.0,250.0]","[0.0,0.0]","[0.0625,0.5]","[AAA,BBB,DDD]",[25.166667]
2017-03-02 00:51:00,250.0,0.5,"(deposit,transfer)",1,0.35,"[5,6]","[direct_deposit,p2p_transfer]","[250.0,250.0]","[0.0,0.0]","[0.5,0.5]","[AAA,BBB,DDD]",[0.35]
2017-03-01 00:21:00,1000.0,0.5,"(deposit,transfer)",1,25.466667,"[3,7]","[cash_deposit,p2p_transfer]","[1000.0,1000.0]","[0.0,0.0]","[0.5,1.0]","[AAA,CCC,DDD]",[25.466667]
2017-03-02 01:12:00,500.0,1.0,"(existing,withdraw)",1,24.633333,"[6,8]","[p2p_transfer,cash_withdraw]","[500.0,500.0]","[0.0,0.0]","[1.0,0.333333]","[BBB,DDD,AAA]",[24.633333]
2017-03-02 01:49:00,1000.0,1.0,"(existing,withdraw)",1,24.016667,"[7,8]","[p2p_transfer,cash_withdraw]","[1000.0,1000.0]","[0.0,0.0]","[1.0,0.666667]","[CCC,DDD,AAA]",[24.016667]
2017-03-02 00:26:00,100.0,0.1,"(existing,withdraw)",1,25.866667,"[4,9]","[p2p_transfer,card_payment]","[100.0,100.0]","[0.0,0.0]","[0.1,1.0]","[CCC,EEE,RRR]",[25.866667]
2017-03-01 00:02:00,250.0,0.0625,"(deposit,withdraw)",0,50.316667,"[1,10]","[check_deposit,cash_withdraw]","[250.0,250.0]","[0.0,0.0]","[0.0625,0.5]","[AAA,BBB,AAA]",[50.316667]
2017-03-02 00:51:00,250.0,0.5,"(deposit,withdraw)",0,25.5,"[5,10]","[direct_deposit,cash_withdraw]","[250.0,250.0]","[0.0,0.0]","[0.5,0.5]","[AAA,BBB,AAA]",[25.5]
2017-03-02 00:26:00,900.0,0.9,"(existing,withdraw)",1,50.366667,"[4,11]","[p2p_transfer,bill_payment]","[900.0,900.0]","[0.0,0.0]","[0.9,1.0]","[CCC,EEE,QQQ]",[50.366667]
