duration,complete,amount,deposits,duration,categ
5.0,True,10.0,0.25,'(0,inf)',deposit~withdraw
8.0,True,10.0,0.25,'(0,inf)',deposit~withdraw
15.0,True,10.0,0.25,'(0,inf)',deposit~withdraw
16.0,True,10.0,0.25,'(0,inf)',deposit~withdraw
5.0,True,10.0,0.3333333333333333,'(0,inf)',deposit~withdraw
24.0,True,10.0,0.3333333333333333,'(0,inf)',deposit~withdraw
58.0,True,5.0,0.16666666666666666,'(0,inf)',deposit~withdraw
32.0,True,5.0,0.5,'(0,inf)',deposit~withdraw
98.0,True,5.0,0.16666666666666666,'(0,inf)',deposit~withdraw
72.0,True,5.0,0.5,'(0,inf)',deposit~withdraw
1.0,True,10.0,0.5,'(0,inf)',deposit~withdraw
12.0,True,5.0,0.25,'(0,inf)',deposit~withdraw
31.0,True,4.390243902439025,0.21951219512195125,'(0,inf)',deposit~withdraw
2.0,True,175.609756097561,0.878048780487805,'(0,inf)',deposit~withdraw
31.0,False,0.6097560975609756,0.03048780487804878,inf,deposit~untracked
32.0,True,9.756097560975611,0.04878048780487806,'(0,inf)',deposit~withdraw
48.0,True,9.756097560975608,0.04878048780487804,'(0,inf)',deposit~withdraw
48.0,False,4.878048780487804,0.02439024390243902,inf,deposit~untracked
0,True,5.0,1.0,0,untracked~withdraw
