trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_fees,txn_txns,acct_IDs,acct_durs
2017-03-01 00:02:00,3500.0,0.875,"(deposit,withdraw)",0,0.1,"[1,2]","[check_deposit,bill_payment]","[3500.0,3500.0]","[0.0,0.0]","[0.875,1.0]","[AAA,BBB,QQQ]",[0.1]
2017-03-01 00:02:00,250.0,0.0625,"(deposit,cut)",0,25.166667,[1],[check_deposit],[250.0],[0.0],[0.0625],"[AAA,BBB]",[25.166667]
2017-03-02 00:51:00,250.0,0.5,"(deposit,cut)",0,0.35,[5],[direct_deposit],[250.0],[0.0],[0.5],"[AAA,BBB]",[0.35]
2017-03-01 00:02:00,250.0,0.0625,"(deposit,untracked)",0,25.166667,[1],[check_deposit],[250.0],[0.0],[0.0625],"[AAA,BBB]",[25.166667]
2017-03-02 00:51:00,250.0,0.5,"(deposit,untracked)",0,0.35,[5],[direct_deposit],[250.0],[0.0],[0.5],"[AAA,BBB]",[0.35]
2017-03-02 01:12:00,500.0,1.0,"(transfer,withdraw)",1,24.633333,"[6,8]","[p2p_transfer,cash_withdraw]","[500.0,500.0]","[0.0,0.0]","[1.0,0.333333]","[BBB,DDD,AAA]",[24.633333]
2017-03-01 00:21:00,1000.0,0.5,"(deposit,withdraw)",1,49.483333,"[3,7,8]","[cash_deposit,p2p_transfer,cash_withdraw]","[1000.0,1000.0,1000.0]","[0.0,0.0,0.0]","[0.5,1.0,0.666667]","[AAA,CCC,DDD,AAA]","[25.466667,24.016667]"
2017-03-01 00:21:00,100.0,0.05,"(deposit,cut)",1,49.95,"[3,4]","[cash_deposit,p2p_transfer]","[100.0,100.0]","[0.0,0.0]","[0.05,0.1]","[AAA,CCC,EEE]","[24.083333,25.866667]"
2017-03-03 02:21:00,500.0,1.0,"(existing,withdraw)",0,,[10],[cash_withdraw],[500.0],[0.0],[1.0],"[BBB,AAA]",[]
2017-03-01 00:21:00,900.0,0.45,"(deposit,withdraw)",1,74.45,"[3,4,11]","[cash_deposit,p2p_transfer,bill_payment]","[900.0,900.0,900.0]","[0.0,0.0,0.0]","[0.45,0.9,1.0]","[AAA,CCC,EEE,QQQ]","[24.083333,50.366667]"
