trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_revs,txn_txns,acct_IDs,acct_durs
2019-08-08 07:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,2.0,"[10000004,10000005]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[YYY,XYZ,provider]",[2.0]
2019-08-08 07:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,38.0,"[10000004,10000006]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[YYY,XYZ,provider]",[38.0]
2019-08-13 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,3.0,"[10000007,10000008]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[ZZZ,XYZ,provider]",[3.0]
2019-08-13 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,53.0,"[10000007,10000009]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[ZZZ,XYZ,provider]",[53.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,5.0,"[10000010,10000011]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[5.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,8.0,"[10000010,10000012]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[8.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,15.0,"[10000010,10000013]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[15.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,16.0,"[10000010,10000014]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[16.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,5.0,"[10000015,10000016]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[5.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,24.0,"[10000015,10000017]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[24.0]
2019-08-22 08:00:00,10.0,1.0,"(deposit,withdraw)",0,32.0,"[10000018,10000019]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[1.0,1.0]","[CCC,XYZ,provider]",[32.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,98.0,"[10000015,10000020]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[98.0]
2019-08-27 07:00:00,10.0,0.5,"(deposit,withdraw)",0,1.0,"[10000021,10000022]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.5,1.0]","[DDD,XYZ,provider]",[1.0]
2019-08-27 07:00:00,5.0,0.25,"(deposit,withdraw)",0,12.0,"[10000021,10000023]","[cash-in,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]","[DDD,XYZ,provider]",[12.0]
2019-08-28 12:00:00,180.0,0.9,"(deposit,withdraw)",0,2.0,"[10000024,10000025]","[cash-in,bill-payment]","[180.0,180.0]","[0.0,0.0]","[0.9,1.0]","[EEE,XYZ,utility]",[2.0]
2019-08-28 12:00:00,10.0,0.05,"(deposit,withdraw)",0,32.0,"[10000024,10000026]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]","[EEE,XYZ,provider]",[32.0]
2019-08-28 12:00:00,10.0,0.05,"(deposit,withdraw)",0,48.0,"[10000024,10000027]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]","[EEE,XYZ,provider]",[48.0]
2019-08-27 07:00:00,5.0,0.25,"(deposit,withdraw)",0,95.0,"[10000021,10000028]","[cash-in,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]","[DDD,XYZ,provider]",[95.0]
2019-08-08 07:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,569.0,"[10000004,i_995b6f23449f]","[cash-in,final]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,0.5]","[YYY,XYZ,inferred]",[569.0]
2019-08-13 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,450.0,"[10000007,i_995b6f23449f]","[cash-in,final]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,0.5]","[ZZZ,XYZ,inferred]",[450.0]
