flow_timestamp,flow_amt,flow_txn,flow_length,flow_length_nrev,flow_duration,flow_acct_IDs,flow_txn_IDs,flow_txn_types,flow_amts,flow_revs,flow_txns,flow_durs,flow_categs
2019-08-08 07:00:00,10.0,0.3333333333333333,0,0,2.0,"[YYY,XYZ,provider]","[10000004,10000005]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]",[2.0],"(deposit,withdraw)"
2019-08-08 07:00:00,10.0,0.3333333333333333,0,0,38.0,"[YYY,XYZ,provider]","[10000004,10000006]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]",[38.0],"(deposit,withdraw)"
2019-08-08 07:00:00,2.5,0.08333333333333333,0,0,122.0,"[YYY,XYZ,provider]","[10000004,10000008]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.08333333333333333,0.25]",[122.0],"(deposit,withdraw)"
2019-08-13 06:00:00,7.5,0.25,0,0,3.0,"[ZZZ,XYZ,provider]","[10000007,10000008]","[cash-in,mobile-minutes]","[7.5,7.5]","[0.0,0.0]","[0.25,0.75]",[3.0],"(deposit,withdraw)"
2019-08-08 07:00:00,2.5,0.08333333333333333,0,0,172.0,"[YYY,XYZ,provider]","[10000004,10000009]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.08333333333333333,0.25]",[172.0],"(deposit,withdraw)"
2019-08-13 06:00:00,7.5,0.25,0,0,53.0,"[ZZZ,XYZ,provider]","[10000007,10000009]","[cash-in,mobile-minutes]","[7.5,7.5]","[0.0,0.0]","[0.25,0.75]",[53.0],"(deposit,withdraw)"
2019-08-08 07:00:00,0.8333333333333333,0.027777777777777776,0,0,238.0,"[YYY,XYZ,provider]","[10000004,10000011]","[cash-in,mobile-minutes]","[0.8333333333333333,0.8333333333333333]","[0.0,0.0]","[0.027777777777777776,0.08333333333333333]",[238.0],"(deposit,withdraw)"
2019-08-13 06:00:00,2.5,0.08333333333333333,0,0,119.0,"[ZZZ,XYZ,provider]","[10000007,10000011]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.08333333333333333,0.25]",[119.0],"(deposit,withdraw)"
2019-08-18 00:00:00,6.666666666666666,0.16666666666666666,0,0,5.0,"[AAA,XYZ,provider]","[10000010,10000011]","[cash-in,mobile-minutes]","[6.666666666666666,6.666666666666666]","[0.0,0.0]","[0.16666666666666666,0.6666666666666666]",[5.0],"(deposit,withdraw)"
2019-08-08 07:00:00,0.8333333333333335,0.027777777777777783,0,0,241.0,"[YYY,XYZ,provider]","[10000004,10000012]","[cash-in,mobile-minutes]","[0.8333333333333335,0.8333333333333335]","[0.0,0.0]","[0.027777777777777783,0.08333333333333334]",[241.0],"(deposit,withdraw)"
